clkPeriod, coreUtil, congEffor, timingDriven, drcViol, slack, totalWireLength, chipArea
6,0.7,low,0,26,-0.054,14697.883,114650.8800
6,0.7,low,1,1,0.006,14697.883,109715.8450
6,0.7,medium,0,0,-0.082,14697.883,112837.8250
6,0.7,medium,1,0,-0.012,14697.883,110246.7350
6,0.7,high,0,0,-0.082,14697.883,112837.8250
6,0.7,high,1,0,-0.012,14697.883,110246.7350
6,0.71,low,0,1,-0.070,14492.478,110215.1550
6,0.71,low,1,7,0.021,14492.478,112926.5150
6,0.71,medium,0,0,0.004,14492.478,107879.3950
6,0.71,medium,1,6,0.012,14492.478,111805.0450
6,0.71,high,0,0,0.004,14492.478,107879.3950
6,0.71,high,1,6,0.012,14492.478,111805.0450
6,0.72,low,0,0,-0.001,14301.011,113895.6850
6,0.72,low,1,5,-0.014,14301.011,109632.9050
6,0.72,medium,0,0,-0.141,14301.011,111347.7600
6,0.72,medium,1,6,-0.046,14301.011,111187.3400
6,0.72,high,0,0,-0.141,14301.011,111347.7600
6,0.72,high,1,6,-0.046,14301.011,111187.3400
6,0.73,low,0,3,-0.057,14132.367,109850.5650
6,0.73,low,1,16,-0.077,14132.367,112046.2500
6,0.73,medium,0,2,-0.008,14132.367,108692.5800
6,0.73,medium,1,1,-0.041,14132.367,113062.8150
6,0.73,high,0,2,-0.008,14132.367,108692.5800
6,0.73,high,1,1,-0.041,14132.367,113062.8150
6,0.74,low,0,1,-0.183,13954.041,117855.4100
6,0.74,low,1,0,-0.005,13954.041,111470.3850
6,0.74,medium,0,0,-0.018,13954.041,112365.7450
6,0.74,medium,1,0,-0.065,13954.041,117086.9550
6,0.74,high,0,0,-0.018,13954.041,112365.7450
6,0.74,high,1,0,-0.065,13954.041,117086.9550
6,0.75,low,0,0,-0.022,13787.525,109165.9450
6,0.75,low,1,14,-0.008,13787.525,113703.9400
6,0.75,medium,0,0,-0.034,13787.525,109022.6350
6,0.75,medium,1,21,-0.084,13787.525,117548.5150
6,0.75,high,0,0,-0.034,13787.525,109022.6350
6,0.75,high,1,21,-0.084,13787.525,117548.5150
6,0.76,low,0,0,-0.094,13611.326,115353.2450
6,0.76,low,1,11,0.000,13611.326,111587.8150
6,0.76,medium,0,0,-0.019,13611.326,113407.8400
6,0.76,medium,1,9,-0.224,13611.326,112532.1600
6,0.76,high,0,0,-0.019,13611.326,113407.8400
6,0.76,high,1,9,-0.224,13611.326,112532.1600
6,0.77,low,0,15,-0.033,13446.938,110543.3700
6,0.77,low,1,53,-0.032,13446.938,112031.4150
6,0.77,medium,0,1,-0.070,13446.938,108850.1350
6,0.77,medium,1,67,-0.071,13446.938,112851.5000
6,0.77,high,0,1,-0.070,13446.938,108850.1350
6,0.77,high,1,67,-0.071,13446.938,112851.5000
6,0.78,low,0,18,-0.105,13294.627,110282.0450
6,0.78,low,1,119,-0.029,13294.627,109225.3950
6,0.78,medium,0,45,-0.038,13294.627,110911.3850
6,0.78,medium,1,59,-0.052,13294.627,110167.7750
6,0.78,high,0,45,-0.038,13294.627,110911.3850
6,0.78,high,1,59,-0.052,13294.627,110167.7750
6,0.79,low,0,30,-0.046,13132.101,112891.9450
6,0.79,low,1,85,-0.138,13132.101,112799.2200
6,0.79,medium,0,34,-0.099,13132.101,107127.4450
6,0.79,medium,1,51,-0.045,13132.101,110390.0550
6,0.79,high,0,34,-0.099,13132.101,107127.4450
6,0.79,high,1,51,-0.045,13132.101,110390.0550
6,0.8,low,0,81,-0.105,12981.651,109377.2800
6,0.8,low,1,114,-0.080,12981.651,107529.4450
6,0.8,medium,0,89,-0.084,12981.651,109714.9500
6,0.8,medium,1,88,-0.053,12981.651,108759.9900
6,0.8,high,0,89,-0.084,12981.651,109714.9500
6,0.8,high,1,88,-0.053,12981.651,108759.9900
7,0.7,low,0,0,-0.013,14697.883,109567.2950
7,0.7,low,1,0,0.025,14697.883,104543.5950
7,0.7,medium,0,0,0.004,14697.883,109083.8250
7,0.7,medium,1,0,0.025,14697.883,103328.4400
7,0.7,high,0,0,0.004,14697.883,109083.8250
7,0.7,high,1,0,0.025,14697.883,103328.4400
7,0.71,low,0,0,0.007,14492.478,107424.5450
7,0.71,low,1,1,0.059,14492.478,106466.9500
7,0.71,medium,0,0,0.018,14492.478,103724.5600
7,0.71,medium,1,0,0.134,14492.478,105521.3150
7,0.71,high,0,0,0.018,14492.478,103724.5600
7,0.71,high,1,0,0.134,14492.478,105521.3150
7,0.72,low,0,0,0.173,14301.011,107848.1550
7,0.72,low,1,1,0.024,14301.011,104708.5250
7,0.72,medium,0,0,-0.036,14301.011,107388.7000
7,0.72,medium,1,0,-0.015,14301.011,105163.2450
7,0.72,high,0,0,-0.036,14301.011,107388.7000
7,0.72,high,1,0,-0.015,14301.011,105163.2450
7,0.73,low,0,0,0.026,14132.367,102768.4950
7,0.73,low,1,4,0.069,14132.367,106646.5700
7,0.73,medium,0,0,0.073,14132.367,101981.4300
7,0.73,medium,1,2,-0.021,14132.367,104922.0550
7,0.73,high,0,0,0.073,14132.367,101981.4300
7,0.73,high,1,2,-0.021,14132.367,104922.0550
7,0.74,low,0,0,0.025,13954.041,111543.4550
7,0.74,low,1,0,-0.056,13954.041,110630.0900
7,0.74,medium,0,0,0.028,13954.041,106362.4850
7,0.74,medium,1,0,-0.069,13954.041,112806.1500
7,0.74,high,0,0,0.028,13954.041,106362.4850
7,0.74,high,1,0,-0.069,13954.041,112806.1500
7,0.75,low,0,0,-0.030,13787.525,110297.2150
7,0.75,low,1,2,-0.009,13787.525,110836.6050
7,0.75,medium,0,0,0.079,13787.525,107700.9000
7,0.75,medium,1,0,0.021,13787.525,110168.1000
7,0.75,high,0,0,0.079,13787.525,107700.9000
7,0.75,high,1,0,0.021,13787.525,110168.1000
